Journal,2017IF,2018IF,中科院分区,大类学科,录用比例,审稿周期
AMERICAN JOURNAL OF BOTANY,3.05,2.788,3区,生物,较易,"较快,2-4周"
ANNALS OF BOTANY,4.041,3.646,2区,生物,约50%,约3.0个月
ANNALS OF FOREST SCIENCE,2.101,2.368,2区,农林科学,较易,"较慢,12-24周"
Annual Review of Plant Biology,22.808,18.712,1区,生物,极难,约稿?周期不定
AoB Plants,2.238,2.821,3区,生物,,
AUSTRALASIAN PLANT PATHOLOGY,1.085,1.007,3区,农林科学,约95%,平均3月
BMC GENETICS,2.266,2.469,3区,生物,较易,"偏慢,4-8周"
BMC GENOMICS,3.729,3.73,2区,生物,约32.5%,约6.0个月
BMC PLANT BIOLOGY,3.964,3.93,2区,生物,约50%,约4.0个月
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,2.277,3.124,3区,生物,约50%,约6.0个月
BREEDING SCIENCE,1.792,1.559,2区,农林科学,容易,约1.7个月
CANADIAN JOURNAL OF FOREST RESEARCH,1.827,1.887,2区,农林科学,较易,约3.0个月
CANADIAN JOURNAL OF PLANT PATHOLOGY,1.424,0.898,3区,农林科学,容易,"较慢,6-12周"
CRITICAL REVIEWS IN PLANT SCIENCES,6.825,6.162,2区,生物,一般,>12周，或约稿
CROP PROTECTION,1.834,1.92,3区,农林科学,约50%,约4.5个月
CROP SCIENCE,1.629,1.635,3区,农林科学,约50%,约1.0个月
CURRENT OPINION IN PLANT BIOLOGY,7.357,7.349,2区,生物,较难,"较慢,6-12周"
DENDROCHRONOLOGIA,2.259,2.055,2区,农林科学,容易,>12周，或约稿
DEVELOPMENTAL CELL,9.174,9.616,1区,生物,很难,"一般,3-6周"
eLife,7.725,7.616,1区,生物,,
EUPHYTICA,1.626,1.546,3区,农林科学,约75%,约5.0个月
EUROPEAN JOURNAL OF AGRONOMY,3.757,3.192,1区,农林科学,较易,约6.0个月
EUROPEAN JOURNAL OF FOREST RESEARCH,2.017,2.409,2区,农林科学,容易,"一般,6-16周"
EUROPEAN JOURNAL OF PLANT PATHOLOGY,1.478,1.466,3区,农林科学,约75%,约3.0个月
EXPERIMENTAL AGRICULTURE,1.068,1.68,3区,农林科学,容易,>36周，或约稿
FIELD CROPS RESEARCH,3.048,3.127,1区,农林科学,约75%,约3.0个月
FOREST ECOLOGY AND MANAGEMENT,3.064,3.169,2区,农林科学,约25%,约3.0个月
FOREST PATHOLOGY,1.547,1.741,3区,农林科学,较易,"较慢,12-24周"
FOREST POLICY AND ECONOMICS,1.982,2.496,2区,农林科学,容易,"偏慢,12-24周"
FOREST SCIENCE,1.782,2.368,3区,农林科学,容易,"较慢,12-24周"
FORESTRY,2.232,2.638,2区,农林科学,较易,"较慢,12-24周"
Forests,1.951,1.956,3区,农林科学,容易,>12周，或约稿
Frontiers in Plant Science,4.298,3.678,2区,生物,,
FUNCTIONAL PLANT BIOLOGY,2.121,2.083,3区,生物,较易,约1.0个月
GENETIC RESOURCES AND CROP EVOLUTION,1.294,1.13,3区,农林科学,容易,约3.0个月
GENOME BIOLOGY,11.908,13.214,1区,生物,,
GigaScience,6.871,7.267,2区,综合性期刊,,
Global Change Biology Bioenergy,4.655,5.415,2区,生物,,约1.0个月
GRASS AND FORAGE SCIENCE,1.457,1.574,3区,农林科学,较易,平均12月
iForest-Biogeosciences and Forestry,1.623,1.246,3区,农林科学,容易,>12周，或约稿
International Agrophysics,0.967,1.242,3区,农林科学,容易,"较慢,6-12周"
INTERNATIONAL FORESTRY REVIEW,1.308,1.495,3区,农林科学,容易,>36周，或约稿
INTERNATIONAL JOURNAL OF WILDLAND FIRE,2.748,2.445,2区,农林科学,较易,"较慢,12-24周"
