gene_id	Regulation	Type
PIGQ	down	mRNA
MZF1	down	mRNA
EXOC3L1	down	mRNA
FAM229A	down	mRNA
SEMA6C	down	mRNA
C4orf48	down	mRNA
MICALL2	down	mRNA
ATP5F1D	down	mRNA
LTBP3	down	mRNA
TMEM160	down	mRNA
CCDC85B	down	mRNA
SELENOO	down	mRNA
TECR	down	mRNA
ZNF579	down	mRNA
MIB2	down	mRNA
LZTR1	down	mRNA
CCS	down	mRNA
ABCA7	down	mRNA
TGFB1	down	mRNA
DPP7	down	mRNA
LCAT	down	mRNA
C1QTNF6	down	mRNA
C9orf16	down	mRNA
SF3A2	down	mRNA
GLI4	down	mRNA
HEXD	down	mRNA
SORBS3	down	mRNA
YPEL3	down	mRNA
SHC2	down	mRNA
VPS28	down	mRNA
FKBP8	down	mRNA
TP53I13	down	mRNA
ARSA	down	mRNA
TCIRG1	down	mRNA
TMEM91	down	mRNA
ADCY4	down	mRNA
EPHX1	down	mRNA
GAS6	down	mRNA
CEP131	down	mRNA
RNPEPL1	down	mRNA
UBXN11	down	mRNA
ZNF444	down	mRNA
PHKG2	down	mRNA
IDUA	down	mRNA
RHPN1	down	mRNA
PAXX	down	mRNA
AGER	down	mRNA
MIIP	down	mRNA
RFNG	down	mRNA
SLC27A3	down	mRNA
TPGS1	down	mRNA
OSBPL7	down	mRNA
ACAP3	down	mRNA
MCRIP1	down	mRNA
LRRC45	down	mRNA
IL4I1	down	mRNA
RAPGEF3	down	mRNA
RENBP	down	mRNA
LTBP4	down	mRNA
ENG	down	mRNA
MED16	down	mRNA
DMPK	down	mRNA
MBD3	down	mRNA
TRIM47	down	mRNA
FASTK	down	mRNA
H1FX	down	mRNA
PNPLA6	down	mRNA
PPDPF	down	mRNA
BTBD2	down	mRNA
RABL6	down	mRNA
VPS9D1	down	mRNA
TMUB1	down	mRNA
SH3BGRL3	down	mRNA
TNS2	down	mRNA
AMDHD2	down	mRNA
TSC22D4	down	mRNA
NUDT14	down	mRNA
CC2D1A	down	mRNA
RAB11B	down	mRNA
ARMC5	down	mRNA
CST3	down	mRNA
VEGFB	down	mRNA
TNK2	down	mRNA
GALK1	down	mRNA
SIGIRR	down	mRNA
THBS3	down	mRNA
NDUFV1	down	mRNA
DIPK1B	down	mRNA
HCFC1R1	down	mRNA
SPG7	down	mRNA
GPAA1	down	mRNA
NOSIP	down	mRNA
PMAIP1	up	mRNA
TNFRSF25	down	mRNA
TBC1D17	down	mRNA
TMEM161A	down	mRNA
RHOT2	down	mRNA
CORO6	down	mRNA
KANK3	down	mRNA
CPNE5	down	mRNA
EXD3	down	mRNA
MFSD3	down	mRNA
CLEC11A	down	mRNA
ZNF580	down	mRNA
NME3	down	mRNA
ECHDC2	down	mRNA
CLIP3	down	mRNA
SNRNP70	down	mRNA
MAPK8IP3	down	mRNA
LTB4R	down	mRNA
CLDN15	down	mRNA
OBSL1	down	mRNA
CYCS	up	mRNA
NPEPL1	down	mRNA
NEIL1	down	mRNA
IL17RC	down	mRNA
PSAT1	up	mRNA
CCDC57	down	mRNA
MVP	down	mRNA
PTDSS2	down	mRNA
PNPLA2	down	mRNA
NPDC1	down	mRNA
ARFGAP1	down	mRNA
PKN1	down	mRNA
METTL26	down	mRNA
BSG	down	mRNA
XAB2	down	mRNA
FCGRT	down	mRNA
NAGLU	down	mRNA
NISCH	down	mRNA
SPPL2B	down	mRNA
SH3TC1	down	mRNA
TAZ	down	mRNA
CDK10	down	mRNA
ADAMTS7	down	mRNA
MAP2K2	down	mRNA
RABEP2	down	mRNA
HMG20B	down	mRNA
CYBA	down	mRNA
TPRN	down	mRNA
D2HGDH	down	mRNA
PLTP	down	mRNA
CCDC61	down	mRNA
VAMP2	down	mRNA
TBL3	down	mRNA
ALDH16A1	down	mRNA
SPATC1L	down	mRNA
TUBG2	down	mRNA
ANKRD10	down	mRNA
ABCB8	down	mRNA
SCAF1	down	mRNA
KAT2A	down	mRNA
DUS1L	down	mRNA
ADCK5	down	mRNA
MAPK11	down	mRNA
REX1BD	down	mRNA
TMEM255B	down	mRNA
ATP6V0A1	down	mRNA
CEACAM19	down	mRNA
TAF1C	down	mRNA
FAM167B	down	mRNA
CRTC1	down	mRNA
CPXM1	down	mRNA
RSL24D1	up	mRNA
GSDMD	down	mRNA
ADAMTS10	down	mRNA
HSPB1	down	mRNA
TNFRSF14	down	mRNA
SRGN	up	mRNA
LIMD2	down	mRNA
MAP1LC3A	down	mRNA
PCED1A	down	mRNA
DENND6B	down	mRNA
ANO9	down	mRNA
ANKS3	down	mRNA
MT-ND6	down	mRNA
PTOV1	down	mRNA
CCDC106	down	mRNA
CYBC1	down	mRNA
TEDC1	down	mRNA
SHKBP1	down	mRNA
FAM234A	down	mRNA
GRN	down	mRNA
MYL5	down	mRNA
PGGHG	down	mRNA
FBXW4	down	mRNA
DECR2	down	mRNA
TMEM175	down	mRNA
FAM160B2	down	mRNA
TAPBP	down	mRNA
GRINA	down	mRNA
FAM193B	down	mRNA
SCRN2	down	mRNA
TDRD10	down	mRNA
TMEM94	down	mRNA
PICK1	down	mRNA
ANAPC2	down	mRNA
GPR137	down	mRNA
USF2	down	mRNA
FBXW5	down	mRNA
EEF1A1	up	mRNA
SNAPC4	down	mRNA
MAPK12	down	mRNA
PLD3	down	mRNA
PIDD1	down	mRNA
SLC26A6	down	mRNA
TBC1D3L	down	mRNA
MVD	down	mRNA
SART1	down	mRNA
TSR3	down	mRNA
ATG16L2	down	mRNA
CTSD	down	mRNA
P3H3	down	mRNA
PLA2G6	down	mRNA
CPTP	down	mRNA
TUBGCP6	down	mRNA
WDR24	down	mRNA
LMNTD2	down	mRNA
CAPS	down	mRNA
RHBDD2	down	mRNA
EML3	down	mRNA
GATD1	down	mRNA
INTS1	down	mRNA
TRMT1	down	mRNA
MAN1B1	down	mRNA
SSBP4	down	mRNA
FAAP20	down	mRNA
SLC43A2	down	mRNA
CLASRP	down	mRNA
HOOK2	down	mRNA
PGK1	up	mRNA
NPR1	down	mRNA
GGT5	down	mRNA
SGSM2	down	mRNA
SLC27A1	down	mRNA
G6PC3	down	mRNA
ZDHHC1	down	mRNA
MRPL28	down	mRNA
CSAD	down	mRNA
MICAL1	down	mRNA
PELP1	down	mRNA
NOC4L	down	mRNA
TRMT2A	down	mRNA
SCX	down	mRNA
ILVBL	down	mRNA
NDUFA11	down	mRNA
ACCS	down	mRNA
ANKRD13D	down	mRNA
SHANK3	down	mRNA
CDK2AP2	down	mRNA
IRF2BP1	down	mRNA
BRAT1	down	mRNA
NAPRT	down	mRNA
PGPEP1	down	mRNA
LENG8	down	mRNA
SCAMP4	down	mRNA
CCDC159	down	mRNA
SLC38A10	down	mRNA
BCL3	down	mRNA
PNKP	down	mRNA
TAF6L	down	mRNA
ANXA3	up	mRNA
MT-CO2	down	mRNA
ZBTB45	down	mRNA
TMC6	down	mRNA
RPS29	up	mRNA
ASPSCR1	down	mRNA
STK11	down	mRNA
RCN3	down	mRNA
EMILIN1	down	mRNA
RND3	up	mRNA
GPS1	down	mRNA
PTGES2	down	mRNA
TLE2	down	mRNA
IFFO1	down	mRNA
PEX16	down	mRNA
SFI1	down	mRNA
GABBR1	down	mRNA
COX7A2L	up	mRNA
CNPY3	down	mRNA
BMP1	down	mRNA
LRFN4	down	mRNA
KLHL22	down	mRNA
ZBTB48	down	mRNA
PALM	down	mRNA
LUC7L	down	mRNA
JAG2	down	mRNA
ZFYVE19	down	mRNA
CDC42EP5	down	mRNA
NPIPB12	down	mRNA
EHBP1L1	down	mRNA
GDPD5	down	mRNA
ACTL6A	up	mRNA
CIAO3	down	mRNA
ATAD3A	down	mRNA
CENPT	down	mRNA
BRF1	down	mRNA
C20orf27	down	mRNA
CCDC130	down	mRNA
ZNF768	down	mRNA
WDR13	down	mRNA
PLXNB1	down	mRNA
TMEM120A	down	mRNA
CACNG8	down	mRNA
ZNF358	down	mRNA
PRKCSH	down	mRNA
EPN1	down	mRNA
CYHR1	down	mRNA
PRKAR1B	down	mRNA
NARS	up	mRNA
CRIP2	down	mRNA
TSC2	down	mRNA
TMEM8B	down	mRNA
TELO2	down	mRNA
EGFL7	down	mRNA
C1orf159	down	mRNA
CYP27A1	down	mRNA
CTU1	down	mRNA
CTXN1	down	mRNA
ACHE	down	mRNA
PPP2R3B	down	mRNA
CDK1	up	mRNA
MAP3K11	down	mRNA
SHARPIN	down	mRNA
ARHGAP24	up	mRNA
PNPLA7	down	mRNA
PSMC1	up	mRNA
PTGIS	down	mRNA
CENPB	down	mRNA
SPACA6	down	mRNA
PRDX3	up	mRNA
FBXO44	down	mRNA
NPM1	up	mRNA
PPP1R16A	down	mRNA
MFAP2	down	mRNA
LRRC75B	down	mRNA
TMEM44	down	mRNA
PGLS	down	mRNA
SCAND1	down	mRNA
PTMS	down	mRNA
RPUSD1	down	mRNA
GHDC	down	mRNA
ZNF865	down	mRNA
CROCC	down	mRNA
CXXC1	down	mRNA
ACTR3	up	mRNA
ZNF414	down	mRNA
NFKBIL1	down	mRNA
CORO7	down	mRNA
MTHFD2	up	mRNA
MMP24OS	down	mRNA
BICRA	down	mRNA
SLC39A3	down	mRNA
RTKN	down	mRNA
FLYWCH1	down	mRNA
PARP10	down	mRNA
FSD1	down	mRNA
NFATC4	down	mRNA
RO60	up	mRNA
METRN	down	mRNA
