Node1	Node2	Score
SGK1	PRR5	0.962
STAT1	USP18	0.988
SYT5	VAMP2	0.967
RPL31	RPS29	0.999
STX1A	CPLX1	0.996
IRF3	IFIT1	0.982
HSD17B12	ELOVL7	0.951
OAS3	IFIT3	0.992
GPS1	FBXL14	0.959
ARAF	MAP2K2	0.992
JAK3	STAT1	0.986
NOP58	POLR1B	0.984
RB1	CDK1	0.974
RBL2	CCNA1	0.966
NOP58	NIFK	0.993
SEC31B	SEC23A	0.991
CEPT1	PTDSS2	0.959
COMMD10	COMMD3	0.996
MYLK	MYL5	0.992
RPL31	RPL39	0.999
NIFK	RPL30	0.96
LUC7L	SNRNP70	0.995
COMMD3	COMMD8	0.993
TTK	CCNA2	0.987
CENPT	CDK1	0.979
CXCL10	CXCL11	0.988
EPN2	DNAJC6	0.953
OAS2	RNASEL	0.968
COMMD10	COMMD8	0.998
CCL20	CXCL10	0.975
TAF2	TAF4B	0.963
RPL34	RPS27A	0.999
NDUFS8	NDUFV1	0.999
CHMP5	VPS4A	0.989
MCM2	PRIM1	0.997
ETFB	CYCS	0.957
CENPQ	CENPT	0.988
RB1	CCNA2	0.983
MAML2	NOTCH4	0.999
POLR2B	TAF2	0.956
VIPR1	RAMP2	0.967
RBL2	CCNA2	0.981
CST3	TIMP1	0.953
RPL30	RPL39	0.999
POLR1B	DDX21	0.954
NCAPG	CCNA2	0.969
CPLX1	VAMP2	0.988
GNB3	PLCB2	0.953
OAS3	GBP1	0.968
RPS27A	RPL22L1	0.994
SNAP23	STX1B	0.979
BUB1B	CDK1	0.999
ENG	TGFB3	0.966
TRAPPC9	SEC24C	0.964
FBXO11	FBXL14	0.971
RPL30	RPS29	0.999
LSM6	SART1	0.998
RPL37	RPL30	0.999
CST3	IL6	0.956
NOP58	NOC4L	0.999
COX7A2L	CYCS	0.973
RRM1	CDK1	0.97
OAS3	RSAD2	0.99
SNRPG	RNPC3	0.99
CYP1A1	EPHX1	0.986
TGFB1	LTBP3	0.965
NDUFB3	MT-ND4L	0.967
XAB2	SNRPG	0.996
STX1A	VAMP2	0.998
CENPQ	CENPN	0.989
TRAPPC10	TRAPPC6B	0.984
MCM2	CDK1	0.981
XAB2	SF3A2	0.988
CXCL9	CXCL10	0.988
RRM1	PRIM1	0.957
EPN1	CLTCL1	0.968
RSAD2	RNASEL	0.964
NR1H3	NRIP1	0.971
CLTCL1	DNAJC6	0.988
CRHR2	UCN	0.994
SMAD7	TGFB1	0.977
OAS1	RNASEL	0.972
CHMP5	VPS28	0.985
STAT1	IFIT1	0.992
CXCL10	CXCL8	0.987
WNT4	FZD2	0.979
TUBGCP6	PLK4	0.987
ITGB1	BSG	0.97
MX2	IFIT1	0.994
OAS2	IFIT1	0.995
NOP58	CEBPZ	0.987
FANCI	FAAP20	0.971
HEATR1	NOC4L	0.998
CYP11A1	FDXR	0.978
CENPT	CENPN	0.99
FAAP100	BLM	0.999
NOP58	TBL3	0.999
MRPL2	MRPL55	0.977
MCM2	GINS4	0.998
EXOSC4	C1D	0.998
SNTA1	MAPK12	0.972
PNKP	NEIL1	0.966
RPS27A	RPL39	0.999
SNRNP70	SNRPG	0.999
MT-ND6	MT-ND4L	0.999
MCM2	CCNA2	0.994
CTH	TXNRD1	0.951
FBXW4	FBXW5	0.954
TUBA1B	TUBB2B	0.997
ARG2	AZIN2	0.968
KAT2A	MED16	0.993
SEC23A	SEC24C	0.998
MYLK	MYL4	0.964
APAF1	CYCS	0.998
MAD2L1	ANAPC2	0.99
NDUFS8	MT-ND4L	0.974
SMC4	CDK1	0.996
MTHFD2	ALDH1L2	0.965
CDK1	RRM2	0.991
OAS1	XAF1	0.984
OAS1	GBP1	0.972
OAS1	IFIT3	0.992
RPS27A	RPL30	0.999
MCM2	ATRIP	0.965
BMP2	NOG	0.995
CLU	APOE	0.953
BABAM1	ABRAXAS1	0.999
ATRIP	RAD9A	0.981
OAS2	XAF1	0.987
PSMC1	PSMD7	0.999
NDUFV1	MT-ND4L	0.985
EEF1A1	RPS29	0.987
SNAP23	STX1A	0.999
FBXO5	CDK1	0.996
STX1B	CPLX1	0.964
ATP5F1D	ATP5ME	0.999
CCNA2	MAD2L1	0.999
STAT1	MAPK11	0.951
CCNA2	BUB1B	0.999
TTK	MAD2L1	0.998
MRPL28	MRPL2	0.997
RPL34	RPL37	0.999
APOE	LCAT	0.951
OAS3	XAF1	0.984
MVB12A	VPS28	0.998
RSL24D1	NIFK	0.985
FAAP100	EME2	0.952
MRPL28	MRPS22	0.972
CYCS	MT-CO2	0.997
RRM1	RRM2	0.999
TUBG2	TUBGCP6	0.996
BUB1B	CENPN	0.985
STAT1	MX2	0.975
EPN2	FCHO1	0.959
CXCL11	CXCL8	0.968
SEC23A	TRAPPC6B	0.972
EEF1A1	RPL39	0.961
CUL3	KLHL11	0.998
CCNA1	MAD2L1	0.96
OAS3	RNASEL	0.979
RPL37	RPL22L1	0.996
MBD3	CHD4	0.994
RPL22L1	RPS29	0.997
CENPL	CENPN	0.993
RPL31	RPL22L1	0.997
CYBA	NOXA1	0.979
NCAPG	TTK	0.992
PIGQ	PIGA	0.994
TTK	CDK1	0.993
IPPK	IPMK	0.98
POLR2B	SART1	0.96
NCKAP1	ACTR3	0.952
FBXO5	ANAPC2	0.998
RSAD2	USP18	0.962
STAG1	ESCO2	0.973
TGFB1	ENG	0.982
NDUFB3	NDUFA11	0.997
XAB2	SART1	0.98
STAT1	IL6	0.983
TGFB1	ITGB1	0.958
USP37	CCNA2	0.953
GGT7	OPLAH	0.954
CST3	CTSD	0.972
OAS2	RSAD2	0.992
NDUFA11	MT-ND6	0.983
RPL30	RPL22L1	0.997
PLK4	CDK1	0.987
OAS1	IFIT1	0.995
RBL2	LIN37	0.966
RSAD2	IFIT1	0.997
OAS3	IFIT1	0.993
FAAP20	FAAP100	0.999
LIN7B	RTKN	0.994
SNAP23	VAMP2	0.999
ISYNA1	IMPA1	0.975
DKK1	FZD2	0.957
RNASEL	IFIT1	0.958
XAF1	MX2	0.972
CTU1	CTU2	0.999
DUSP1	MAPK11	0.963
ADAM17	JAG2	0.958
JAG2	MIB2	0.995
STX1B	VAMP2	0.996
OAS2	GBP1	0.973
NDUFV1	MT-ND6	0.997
SEPTIN4	SEPTIN7	0.983
TGFB3	LTBP3	0.962
BUB1B	RRM2	0.971
CYP51A1	HMGCS1	0.986
SNRPG	LSM6	0.999
HIF3A	EGLN1	0.973
CENPQ	CENPL	0.976
BORA	CDK1	0.989
GALK1	GALT	0.999
TAF1C	TAF1A	0.988
CCL20	CXCL11	0.986
GNRH1	KISS1	0.995
RBL2	CDK1	0.954
VPS4A	VPS28	0.987
MCM2	SMC4	0.957
RPL34	RPL30	0.999
EPN1	VAMP2	0.957
ATP5F1D	ATP5MD	0.959
SRM	AMD1	0.995
XAF1	RSAD2	0.99
CST3	APOE	0.959
MRPL55	MRPS22	0.983
HDAC10	KAT2A	0.966
TRAPPC9	TRAPPC6B	0.992
CCL20	CXCL9	0.971
RPL34	RPS29	0.999
RSAD2	MX2	0.993
GGH	DHFR	0.967
CCNA1	RB1	0.962
SMAD7	BMP2	0.982
MIOX	IMPA1	0.953
PEMT	CEPT1	0.957
IFIT3	XAF1	0.988
TIMP1	TGFB1	0.98
NDUFS8	NDUFB3	0.999
PLK4	SFI1	0.953
REC8	STAG1	0.983
