gene_id	Regulation	Type
CXCL10	down	mRNA
CXCL11	down	mRNA
IFIT1	down	mRNA
MX2	down	mRNA
OAS1	down	mRNA
RSAD2	down	mRNA
EPSTI1	down	mRNA
IFIT3	down	mRNA
IFI44L	down	mRNA
IFITM1	down	mRNA
STAT1	down	mRNA
ANO9	up	mRNA
GBP1	down	mRNA
MX1	down	mRNA
OAS2	down	mRNA
TNFSF10	down	mRNA
BATF2	down	mRNA
ALDH1A1	down	mRNA
ACHE	up	mRNA
LAP3	down	mRNA
ADM2	up	mRNA
ACKR4	down	mRNA
RTP4	down	mRNA
NDUFB3	down	mRNA
PNPT1	down	mRNA
UBE2L6	down	mRNA
IFIH1	down	mRNA
ANXA1	down	mRNA
COX7B	down	mRNA
SP110	down	mRNA
CMPK2	down	mRNA
DDX58	down	mRNA
GIMAP7	down	mRNA
B2M	down	mRNA
SAMHD1	down	mRNA
SPRY4	up	mRNA
CHMP5	down	mRNA
MAP1S	up	mRNA
HERC6	down	mRNA
ERH	down	mRNA
IFIT5	down	mRNA
DGKD	up	mRNA
CASP1	down	mRNA
SCARF2	up	mRNA
GIMAP4	down	mRNA
VAT1	up	mRNA
SAMD9L	down	mRNA
IDO1	down	mRNA
OASL	down	mRNA
SNRPG	down	mRNA
IL34	up	mRNA
TACSTD2	down	mRNA
RPS3A	down	mRNA
EFEMP1	down	mRNA
CKS2	down	mRNA
KITLG	up	mRNA
SRP14	down	mRNA
ADAMTS18	down	mRNA
LSM3	down	mRNA
MYL12A	down	mRNA
FAM102A	up	mRNA
SRGN	down	mRNA
PROCR	down	mRNA
MMP14	up	mRNA
RPS18	down	mRNA
TRIM22	down	mRNA
DYNLT1	down	mRNA
RPL15	down	mRNA
PPA1	down	mRNA
TRIM5	down	mRNA
PLTP	up	mRNA
SAMD9	down	mRNA
DHX58	down	mRNA
IFI44	down	mRNA
TRIM14	down	mRNA
RNF114	down	mRNA
ADAP1	up	mRNA
SF3A2	up	mRNA
CD276	up	mRNA
MLKL	down	mRNA
NMI	down	mRNA
NT5C3A	down	mRNA
SHC2	up	mRNA
STAT2	down	mRNA
CLEC14A	down	mRNA
PTX3	down	mRNA
OR2I1P	up	mRNA
NDUFA12	down	mRNA
CKS1B	down	mRNA
HINT1	down	mRNA
LYSMD2	down	mRNA
DHCR7	up	mRNA
ATP5F1C	down	mRNA
PLA2G4C	up	mRNA
CCND1	up	mRNA
SLC12A2	up	mRNA
PLSCR1	down	mRNA
HERC5	down	mRNA
SECTM1	down	mRNA
FASN	up	mRNA
CFH	down	mRNA
ALPK3	up	mRNA
ATP13A2	up	mRNA
APOBEC3G	down	mRNA
IL4I1	up	mRNA
KCNN2	up	mRNA
STEAP1	down	mRNA
OST4	down	mRNA
NDUFA4	down	mRNA
