Node1	Node2	Score
PSMB1	PSMC2	0.999
SNU13	TBL3	0.989
RPL24	RPS14	0.999
RPLP1	RPL39	0.999
RPL36	RPS3	0.999
UBE2B	UBA52	0.979
EIF3H	RPL14	0.975
RPL23	RPLP2	0.999
MRPL47	MRPL33	0.997
MRPS16	MRPL54	0.993
RPS19	RPL35	0.999
SEC61B	RPS3	0.984
MRPL13	MRPS16	0.998
RPL37A	RPS28	0.999
MRPL18	MRPS16	0.988
RPS21	RPS28	0.999
RPS13	RPL5	0.999
RPL24	RPL23A	0.999
STAT1	USP18	0.988
RPS8	SRP9	0.994
RPLP0	RPL15	0.999
RPS19	RPL29	0.999
RPL10	RPS18	0.999
CHCHD1	MRPL11	0.987
BST2	RSAD2	0.975
RPL34	EIF3M	0.973
NDUFB3	NDUFA4	0.983
PHF5A	SNRPF	0.999
RPLP0	RPS26	0.999
RPS15	SRP9	0.989
UQCRFS1	UQCR10	0.999
RPL21	RPL39L	0.994
KNL1	CDK1	0.978
RPS14	MRPL36	0.95
RPL24	RPL7	0.999
SUMO1	NPM1	0.955
RPL19	RPLP2	0.999
IRF5	MX2	0.964
SEC61B	SRP14	0.964
MRPL36	MRPL20	0.997
RPS13	RPL10A	0.999
EIF3E	RPS26	0.991
DIAPH3	CCNB2	0.996
MRPL19	MRPL42	0.995
RPL27	SEC61G	0.997
RPL21	RPS21	0.999
PSMC2	UBB	0.995
RPL23	RPL10A	0.999
NDUFA2	NDUFA4	0.999
RPS24	RPS26	0.999
PSMA2	PSMG2	0.972
RPS27A	RPL39L	0.994
RPS26	RPL12	0.999
RSL24D1	RPS3A	0.97
RPL24	RPL27A	0.999
MRPL13	RPL23A	0.966
ISCU	NFU1	0.957
FGF2	FGFR4	0.993
IL33	MYD88	0.963
MRPS14	MRPL48	0.992
MRPL58	MRPL13	0.998
RSL24D1	RPL32	0.968
RPL12	RPL10A	0.999
RPL31	RPS29	0.999
ANAPC13	ANAPC11	0.996
MED7	MED16	0.994
RPL36AL	RPL12	0.998
RPS13	RPS15	0.999
ANAPC11	ANAPC10	0.998
PSMD14	UBA52	0.996
DUT	TYMS	0.999
OAS3	IFITM1	0.965
CKS2	CCNB1	0.999
PTCH2	SMO	0.986
RPL27A	RPL12	0.999
RPL27A	RPSA	0.999
RPL23	EIF3H	0.969
RPS27A	PSMC2	0.981
RPS14	RPS26	0.999
SNRPC	SF3B5	0.955
OAS1	BST2	0.97
KAT2B	HIST2H2AC	0.978
RPL35	RPSA	0.999
MRPL1	MRPL33	0.997
BCAS2	SYF2	0.998
SNRNP40	MAGOH	0.952
EIF3H	RPL12	0.951
RPL5	RPS27L	0.999
DLGAP5	CCNB1	0.987
RPL22L1	RPS14	0.996
NDUFA9	UQCR10	0.994
XAB2	HMGN1	0.974
RPL27	RPL7A	0.999
OAS3	IFIT3	0.992
RPL31	RPLP2	0.999
RPS19	RPS27L	0.998
RPL23	SRP14	0.996
SNRNP40	SF3B5	0.996
SNU13	RPS12	0.984
NPM1	SUMO2	0.957
MRPL57	MRPL33	0.98
RPL22L1	RPL9	0.996
MRPL32	MRPL34	0.993
RPL19	UBA52	0.999
SF3A2	SF3B5	0.999
RPL31	FAU	0.999
MRPL18	MRPL47	0.998
RPL31	RPS25	0.999
NEK2	BUB1B	0.999
RPL15	UBA52	0.999
MED4	MED16	0.996
NUF2	CENPN	0.974
RPS15	RPL36AL	0.999
RPL36	RPL11	0.999
RPL27	RPL29	0.999
RPL24	RPL23	0.999
RPL13A	RPL15	0.999
MRPL22	MRPL16	0.999
VPS29	SNX2	0.999
RBX1	ELOB	0.995
RPS13	RPS3A	0.999
MAGOH	SNRPE	0.988
PTTG1	BUB1	0.957
MMP2	MMP14	0.969
MAP2K6	GADD45A	0.962
CCNB1	KNL1	0.957
MRPL58	MRPL1	0.979
SEC61B	RPL37A	0.997
UBA52	HIST1H2BH	0.978
NUP37	MAD2L1	0.973
JAK3	STAT1	0.986
RPL13A	RPS21	0.999
CASP1	IL18	0.998
NDUFB6	UQCRH	0.963
NDUFB4	NDUFA4	0.984
SEC61G	RPL32	0.996
RPS12	RPL36AL	0.995
RPL35	RPL22L1	0.994
RPL6	RPS24	0.999
RPS16	RPL37	0.999
NDUFA4	NDUFA7	0.967
PSMA2	NEDD8	0.966
BHLHE40	NPAS2	0.98
PSMB1	UBB	0.989
RPS3A	UBA52	0.999
RPS6	RPL15	0.999
RPL5	RPL38	0.999
NDUFB5	NDUFS4	0.999
GTF2A2	GTF2H5	0.996
RPL36AL	RPSA	0.992
FBXO5	CDC26	0.991
RPS15	RPS8	0.999
SEC61B	RPL34	0.996
FAU	RPLP2	0.999
STAT2	MX2	0.964
UBB	HGS	0.986
PSMA4	UBA52	0.996
MRPL22	MRPL21	0.997
CCNB2	PTTG1	0.974
CENPA	ITGB3BP	0.954
SEC61G	FAU	0.99
NDUFB2	NDUFB1	0.992
RPL27	RPL27A	0.999
RPL5	RPL12	0.999
RPL21	RPL39	0.999
RPL6	EIF3E	0.981
MRPL15	MRPL13	0.999
RPL29	RPS4X	0.999
RPS25	RPL10A	0.999
SREBF1	FASN	0.954
WDR61	EXOSC1	0.984
RPS27A	RPSA	0.999
RPL39L	RPS14	0.996
CWC15	SF3B5	0.993
RPL36	RPL9	0.999
SDHB	SDHD	0.999
NDC80	CDK1	0.999
POLR2L	SUPT5H	0.997
NCAPH	CCNB1	0.983
FAU	RPS21	0.999
EIF3E	RPS14	0.998
POMP	PSMC2	0.959
RPS15	RPSA	0.999
PSMA4	PSMD14	0.999
KAT2B	AR	0.967
CCNA2	PTTG1	0.961
RPS25	RPLP2	0.999
SRP14	RPL30	0.998
MRPL19	MRPL33	0.997
CCNB1	ANAPC11	0.982
IFI27	ISG20	0.955
KIF18A	BUB1B	0.992
RPS27A	UBE2L6	0.995
MRPL39	MRPL20	0.992
RPL34	RPS14	0.999
FAU	RPL12	0.999
RPL14	RPL39	0.999
RPL19	RPL24	0.999
ANAPC13	RPS27A	0.966
CCNB1	BUB1B	0.998
SART1	SNRPE	0.997
PLCG1	BDNF	0.962
RPL26L1	SRP9	0.977
POMP	PSMB9	0.955
ATP5MC3	ATP5F1C	0.998
RPS12	RPL39L	0.989
RPS6	RPLP2	0.999
RPS15	RPL22L1	0.996
RPL26L1	RPL9	0.998
DMC1	MND1	0.97
RPL31	RPL39	0.999
ELOB	RNF7	0.99
EIF3E	RPL11	0.989
ZWINT	BUB1B	0.999
RPS24	RPL27A	0.999
RPL32	RPL37A	0.999
EIF3E	RPS27L	0.985
CCNB1	CDC25C	0.999
EIF3E	RPL7A	0.987
RPS16	TBL3	0.977
NEK2	CCNB1	0.955
NIFK	RPL30	0.96
RPL6	RPL22L1	0.996
RAD51C	RAD51B	0.972
GTF2A2	GTF2H2	0.988
COX7A2L	NDUFS5	0.975
KNL1	CCNB2	0.96
MRPL47	MRPL57	0.996
MRPL22	MRPS22	0.956
PSMA2	PSMB9	0.999
MRPL39	MRPS23	0.982
COX6C	NDUFA6	0.955
RPL34	EEF1B2	0.969
MRPL11	MRPL33	0.996
RPS8	RPL15	0.999
RPL36	RPS4X	0.999
RANBP1	RAN	0.999
NDUFA9	UQCRFS1	0.998
UBB	PSMB3	0.985
RPL6	RPS11	0.999
RPS24	RPS28	0.999
MMP2	SRC	0.974
NDUFA9	NDUFA4	0.954
RPL37	RPS4X	0.999
RPS20	RPS4X	0.999
RPL26L1	RPS28	0.997
RPS24	RPL15	0.999
RPL22L1	RPS18	0.994
RPL23	RPL11	0.999
UQCRB	NDUFA6	0.986
MRPL27	MRPL18	0.99
HIST1H3H	HIST1H3C	0.981
FAU	RPL36AL	0.998
PECR	PIPOX	0.964
ATP6V0E1	ATP6V1G1	0.965
TOP2A	SUMO2	0.951
NDUFC1	NDUFA5	0.998
EIF3E	RPL10A	0.981
SUMO1	PARK7	0.962
UBE2B	UBE2C	0.982
STAT1	MX1	0.996
RPL35	RPL15	0.999
KNL1	MAD2L1	0.961
RPL15	RPS28	0.999
NOTCH2	JAG2	0.967
CENPH	CDK1	0.974
KAT2B	NCOR2	0.95
TTK	CCNA2	0.987
RPL15	RPS18	0.999
IFI6	IFIT1	0.993
PSMA5	UBB	0.996
CCNA1	CKS1B	0.957
RPL27	SRP9	0.996
RPS14	RPS4X	0.999
SNRPC	SNRPB2	0.994
RPL23A	RPS18	0.999
TPT1	RPL11	0.962
NDUFA5	NDUFA2	0.999
SRP9	RPL7	0.971
IFIT3	BST2	0.962
IFIT2	IFIT1	0.997
RANGAP1	CDK1	0.973
MRPL34	MRPL48	0.986
MRPS33	MRPL13	0.992
RPL34	RPS3	0.999
CXCL10	CXCL11	0.988
SF3A2	LSM7	0.972
MRPL16	MRPS23	0.986
RPS25	RPS28	0.999
MRPL36	MRPL57	0.992
KIF20A	BUB1	0.989
COX6C	NDUFA12	0.972
MRPL27	MRPL39	0.98
RPLP2	RPS26	0.999
MRPS33	MRPL54	0.992
RPS20	RPS15A	0.999
COX7C	UQCRB	0.99
MRPS33	MRPL50	0.991
RPS25	RPL9	0.999
SEC61B	RPL23A	0.996
RAD51AP1	PCNA	0.961
RPL34	RPS8	0.999
PSMD6	PSMB8	0.999
RPL7	RPS3	0.999
RPL36	RPS28	0.999
BCAS2	SNRPD1	0.997
FAU	RPL39L	0.997
RPS13	RPS26	0.999
CCNB1	CCNB2	0.999
SNRPC	SNRPG	0.999
COMMD10	COMMD8	0.998
MRPL17	MRPL13	0.999
HSCB	DNAJC19	0.971
MED31	MED7	0.999
RPL27	RPL38	0.999
RPS20	SEC61G	0.983
NDUFAB1	NDUFC1	0.999
NDUFA12	NDUFS3	0.999
UBE2V2	UBE2C	0.965
E2F5	CCNA2	0.977
TIPIN	PRIMPOL	0.994
PSMD6	UBA52	0.979
ATP6V0A1	ATP6V1G1	0.986
PSMA3	PSMD14	0.999
SRP14	RPL14	0.976
NDUFB4	NDUFA1	0.998
RPL24	RPL9	0.999
RPS15	FAU	0.999
C1GALT1C1	GCNT1	0.951
RPL29	UBA52	0.999
NR4A1	BCL2	0.958
RPL34	RPL36AL	0.996
RPL36	RPL7A	0.999
NSL1	BUB1	0.994
GPC5	NOTUM	0.962
RPL13A	RPL38	0.999
RPL36	RPL27A	0.999
EIF3H	RPSA	0.976
DLG3	GRIN1	0.977
MRPL40	MRPS21	0.979
MRPL43	MRPL13	0.997
CHCHD1	MRPL48	0.984
RPL37	RPL37A	0.999
UQCRQ	NDUFA7	0.982
RPS13	SEC61G	0.997
ISG20	MX2	0.973
RPS16	RPS21	0.999
RPL7	RPL9	0.999
RPS12	RPL32	0.999
MRPL22	MRPL36	0.998
BCAS2	SNRPF	0.997
PSMG2	PSMB4	0.98
UQCRQ	CYCS	0.996
RRP12	NOC4L	0.969
BRIX1	NIFK	0.998
PSMB1	PSMB9	0.999
CDKN3	CCNA2	0.964
RPL6	RPL21	0.999
PLCG1	FGFR4	0.982
CENPN	CENPW	0.984
HMGB2	HMGB1	0.998
RPL38	RPLP2	0.999
RPS12	RPS4X	0.999
MRPL19	MRPL11	0.999
MRPL50	MRPL39	0.991
IL4R	JAK3	0.973
MX1	IFIT1	0.998
MRPL32	MRPL35	0.991
RPS12	SRP14	0.996
RHOU	ARHGDIA	0.966
