gene_id	Regulation	Type
CXCL10	down	mRNA
CXCL11	down	mRNA
IFIT1	down	mRNA
IDO1	down	mRNA
GIMAP7	down	mRNA
RNASE1	down	mRNA
RTP4	down	mRNA
TNFSF10	down	mRNA
IFITM1	down	mRNA
SECTM1	down	mRNA
BATF2	down	mRNA
SLC7A5	up	mRNA
OAS1	down	mRNA
GJA4	down	mRNA
MX2	down	mRNA
CLEC14A	down	mRNA
MX1	down	mRNA
ACKR4	down	mRNA
LIF	up	mRNA
RSAD2	down	mRNA
ADM2	up	mRNA
CD38	down	mRNA
GMPR	down	mRNA
SERPINE2	up	mRNA
IFIT3	down	mRNA
ALDH1A1	down	mRNA
MGP	down	mRNA
EPSTI1	down	mRNA
IFI6	down	mRNA
GIMAP4	down	mRNA
STAT1	down	mRNA
SPRY4	up	mRNA
GIMAP1	down	mRNA
IFI44L	down	mRNA
SEPTIN4	down	mRNA
IFI44	down	mRNA
SERPING1	down	mRNA
TACSTD2	down	mRNA
SPNS2	down	mRNA
PDGFB	up	mRNA
FERMT3	up	mRNA
CASP1	down	mRNA
PSMB9	down	mRNA
TMEM88	down	mRNA
SLC25A28	down	mRNA
TFPI	down	mRNA
COX7B	down	mRNA
HOXD4	down	mRNA
TNFSF13B	down	mRNA
MYEOV	up	mRNA
HIF3A	down	mRNA
ZNF467	down	mRNA
TRIB3	up	mRNA
KCNN2	up	mRNA
PHGDH	up	mRNA
UBE2L6	down	mRNA
PROCR	down	mRNA
SP110	down	mRNA
VAT1	up	mRNA
OTOF	down	mRNA
NXPH3	down	mRNA
HES1	down	mRNA
DGKD	up	mRNA
GIMAP8	down	mRNA
SERPINE1	up	mRNA
STAT2	down	mRNA
DYNLT1	down	mRNA
BHLHE40	up	mRNA
KLHL6	up	mRNA
LGALS3BP	down	mRNA
AQP1	down	mRNA
FADS1	up	mRNA
KCTD12	down	mRNA
MAP2K6	down	mRNA
PPM1K	down	mRNA
FRY	down	mRNA
JDP2	up	mRNA
HMGN3	down	mRNA
PLAT	up	mRNA
VEGFA	up	mRNA
MLKL	down	mRNA
BCL2L11	up	mRNA
SEMA3G	down	mRNA
APOBEC3G	down	mRNA
GNA14	down	mRNA
MXD3	down	mRNA
DHCR7	up	mRNA
ADAMTS4	up	mRNA
DDX60L	down	mRNA
NR4A1	up	mRNA
PSAT1	up	mRNA
OASL	down	mRNA
ABCG2	down	mRNA
ESM1	up	mRNA
MMP14	up	mRNA
NDUFA4	down	mRNA
LAP3	down	mRNA
HERC5	down	mRNA
SPAAR	down	mRNA
IRF7	down	mRNA
FAM124B	down	mRNA
TTC39A	down	mRNA
SESN3	down	mRNA
SLC15A3	down	mRNA
DSE	up	mRNA
FBXO6	down	mRNA
DHX58	down	mRNA
STEAP1	down	mRNA
GCNT1	down	mRNA
