Node1	Node2	Score
RIPK3	TLR3	0.954
RPL24	RPS14	0.999
RPLP1	RPL39	0.999
COX6C	COX8A	0.965
RPL23	RPLP2	0.999
RPS19	RPL35	0.999
NDUFB10	NDUFB11	0.999
RPL37A	RPS28	0.999
NDUFC2	UQCR10	0.978
MRPL34	MRPL41	0.999
RPS21	RPS28	0.999
RPL24	RPL23A	0.999
STAT1	USP18	0.988
NDUFB7	NDUFA4	0.955
NDUFA2	ATP5MF	0.95
RPS19	RPL29	0.999
IFITM3	ISG20	0.959
CHCHD1	MRPL11	0.987
BST2	RSAD2	0.975
NDUFB3	NDUFA4	0.983
PLXNA1	SEMA3D	0.964
RPL21	RPL39L	0.994
RPS14	MRPL36	0.95
HEATR1	RPS9	0.981
RPL19	RPLP2	0.999
IRF5	MX2	0.964
SEC61B	SRP14	0.964
UQCR11	NDUFS6	0.987
MRPL36	MRPL20	0.997
RPL27	SEC61G	0.997
UQCR11	UQCRQ	0.999
RPL21	RPS21	0.999
NDUFA2	NDUFA4	0.999
RPS24	RPS26	0.999
PSMA2	PSMG2	0.972
RPS27A	RPL39L	0.994
RPS26	RPL12	0.999
RPL24	RPL27A	0.999
MRPL13	RPL23A	0.966
LTV1	RPS29	0.958
RPL31	RPS29	0.999
RPL36AL	RPL12	0.998
RPS13	RPS15	0.999
ANAPC11	ANAPC10	0.998
RPL36AL	RPS9	0.996
RPL27A	RPL12	0.999
CMPK2	NT5M	0.951
RPS14	RPS26	0.999
OAS1	BST2	0.97
HSD17B12	ELOVL7	0.951
RPS27A	UBA7	0.954
RPL22L1	RPS14	0.996
NDUFA9	UQCR10	0.994
RPL31	RPLP2	0.999
RPS19	RPS27L	0.998
RPL23	SRP14	0.996
PPARA	TNF	0.951
PIK3R1	AR	0.955
CBL	PTPN11	0.975
RPL22L1	RPL9	0.996
TGFBR1	SMURF1	0.975
RPL19	UBA52	0.999
RPL31	FAU	0.999
RPL31	RPS25	0.999
KAT2B	SMARCC1	0.958
NDST1	HSPG2	0.958
RPS15	RPL36AL	0.999
RPL36	RPL11	0.999
RPL27	RPL29	0.999
RPL24	RPL23	0.999
MRPL22	MRPL16	0.999
NDUFA1	NDUFB10	0.998
RBX1	ELOB	0.995
HLA-C	HLA-F	0.969
EP300	CXCL8	0.959
MAP2K6	GADD45A	0.962
LTV1	FAU	0.983
MRPL24	CHCHD1	0.989
SEC61B	RPL37A	0.997
UBA52	HIST1H2BH	0.978
NDUFB2	NDUFA11	0.996
RPL13A	RPS21	0.999
CASP1	IL18	0.998
PMAIP1	BCL2	0.977
NDUFB6	UQCRH	0.963
IFI6	IFITM3	0.962
SEC61G	RPL32	0.996
RPS12	RPL36AL	0.995
RPL35	RPL22L1	0.994
RPS16	RPL37	0.999
PSMA2	NEDD8	0.966
NDUFB5	NDUFS4	0.999
RPS15	RPS8	0.999
SEC61B	RPL34	0.996
FAU	RPLP2	0.999
STAT2	MX2	0.964
PSMA4	UBA52	0.996
SEC61G	FAU	0.99
PCK2	ACLY	0.96
NDUFB2	NDUFB1	0.992
RPL27	RPL27A	0.999
RPL21	RPL39	0.999
LTV1	RPS24	0.981
AARS	MARS	0.975
UBR5	UBA52	0.962
RPL39L	RPS14	0.996
CWC15	SF3B5	0.993
RPL36	RPL9	0.999
CTH	CBS	0.984
FAU	RPS21	0.999
JAK1	STAT2	0.991
KAT2B	AR	0.967
RPS25	RPLP2	0.999
PSMB8	HLA-C	0.957
LONRF1	UBA52	0.97
SRP14	RPL30	0.998
IFI27	ISG20	0.955
RPS27A	UBE2L6	0.995
RPL34	RPS14	0.999
FAU	RPL12	0.999
RPL19	RPL24	0.999
ITGB8	ITGA1	0.958
MRPL24	MRPL41	0.997
RPS12	RPL39L	0.989
RPS15	RPL22L1	0.996
RPL26L1	RPL9	0.998
RPL31	RPL39	0.999
NDUFB11	NDUFS5	0.994
RPS24	RPL27A	0.999
PDGFB	PDGFD	0.978
RPL32	RPL37A	0.999
PSMA2	PSMB9	0.999
EFNB1	EPHA2	0.994
COX6C	NDUFA6	0.955
PIK3R1	PTPN11	0.972
NDUFB10	NDUFS4	0.999
RPS24	RPS28	0.999
IFIT3	IFITM3	0.966
NDUFA9	NDUFA4	0.954
TP53BP1	HIST1H2BH	0.978
NDUFC1	NDUFA3	0.996
ZRANB1	UBA52	0.968
LSM5	PPIH	0.996
RPL26L1	RPS28	0.997
RPL22L1	RPS18	0.994
RPL23	RPL11	0.999
KYNU	IDO1	0.972
UQCRB	NDUFA6	0.986
FAU	RPL36AL	0.998
STAT1	MX1	0.996
RPL27A	RPS9	0.999
KAT2B	NCOR2	0.95
IFI6	IFIT1	0.993
NDUFS4	NDUFA11	0.999
SOD1	CCS	0.989
RPS9	RPS18	0.999
RPL23A	RPS18	0.999
TPT1	RPL11	0.962
IFIT3	BST2	0.962
CXCL10	CXCL11	0.988
RPS25	RPS28	0.999
MRPL36	MRPL57	0.992
TRAF1	TNFAIP3	0.983
COX6C	NDUFA12	0.972
RPLP2	RPS26	0.999
RPS20	RPS15A	0.999
COX7C	UQCRB	0.99
RPS25	RPL9	0.999
SEC61B	RPL23A	0.996
NDUFA1	NDUFA3	0.997
RPL34	RPS8	0.999
RPL36	RPS28	0.999
FAU	RPL39L	0.997
RPS13	RPS26	0.999
MRPL17	MRPL13	0.999
HSCB	DNAJC19	0.971
RPL27	RPL38	0.999
RPS20	SEC61G	0.983
UQCRQ	ATP5MF	0.987
NDUFAB1	NDUFC1	0.999
IFITM3	MX1	0.975
CCL20	CXCL10	0.975
RPL24	RPL9	0.999
RPS15	FAU	0.999
C1GALT1C1	GCNT1	0.951
RPL29	UBA52	0.999
NR4A1	BCL2	0.958
RPL34	RPL36AL	0.996
RPL13A	RPL38	0.999
NDUFA3	NDUFA11	0.998
RPL36	RPL27A	0.999
MRPL40	MRPS21	0.979
RPL37	RPL37A	0.999
NDUFA1	NDUFAF6	0.95
RPS13	SEC61G	0.997
NDUFC2	NDUFB1	0.995
ISG20	MX2	0.973
RPS16	RPS21	0.999
LSM3	NAA38	0.983
IFITM1	IRF9	0.969
RPS12	RPL32	0.999
MRPL22	MRPL36	0.998
MICU3	SMDT1	0.974
NDUFB7	COX5B	0.992
NDUFB2	NDUFB7	0.997
RPL38	RPLP2	0.999
MX1	IFIT1	0.998
RPS12	SRP14	0.996
MARS	IARS	0.999
RPL31	RPS15	0.999
MX1	USP18	0.994
VAMP8	SNAP25	0.988
RPL38	RPL23A	0.999
CXCL8	TNF	0.973
SEC61G	RPL30	0.999
HERC5	IFIT1	0.993
RPS8	RPL22L1	0.996
PSMA4	PSMB3	0.999
RPL24	RPL11	0.999
RPL30	RPL38	0.999
ETS2	FOS	0.963
BST2	IFITM1	0.967
SNRPG	PPIH	0.997
NDUFAB1	NDUFA1	0.998
MRPL17	CHCHD1	0.987
RPL29	RPLP2	0.999
PPIH	SNRPE	0.997
RPS15A	RPL38	0.999
RPL21	RPS8	0.999
RPL34	RPS27A	0.999
RPL36	RPS8	0.999
IFIT1	IFITM1	0.979
RPS25	RPL36AL	0.998
SEC61B	RPS25	0.997
RPL24	RPS25	0.999
GEMIN6	SNRPE	0.966
RBX1	NEDD8	0.999
RPS27A	RPL27A	0.999
RPS19	RPL12	0.999
MRPL16	MRPS21	0.974
RPL27	RPS21	0.999
SEC61B	RPL36	0.997
RPS19	RPL36AL	0.997
RPS15A	RPL37A	0.999
RPS12	RPS15A	0.999
NDUFA2	NDUFAF2	0.958
STAT2	IRF7	0.987
RPL36AL	RPS18	0.997
RPL36	RPL39L	0.995
SEC61G	RPS29	0.996
RPS14	RPLP2	0.999
DDX58	IFIT1	0.996
GBP1	IRF7	0.969
RPL13A	RPS27A	0.999
RPS11	RPS27L	0.999
RPS9	RPS21	0.999
SEC61G	RPS21	0.997
MRPL51	MRPL13	0.989
GBP2	IRF9	0.952
RPS20	RPS13	0.999
RPL19	RPL37	0.999
RPS20	RPL34	0.999
RPL31	RPL36AL	0.997
NDUFA2	NDUFB1	0.998
RPL37A	RPS29	0.999
RPS16	RPL35	0.999
MRPL51	MRPL41	0.996
RPS21	RPL39	0.999
RPL36AL	RPL27A	0.999
RPL19	RPS15	0.999
EIF3A	RPS29	0.985
RPLP1	RPS8	0.999
RPS14	RPS9	0.999
RPL13A	RPL37A	0.999
EIF3C	RPS26	0.986
RPS14	EIF3C	0.986
RPS15	RPS18	0.999
COL4A2	COL4A1	0.999
RPS15A	RPS9	0.999
RPS27L	RPS29	0.998
FAU	RPL22L1	0.997
RPS19	RPS18	0.999
VIPR1	RAMP2	0.967
DYNLL1	DCTN1	0.965
MRPL16	MRPL11	0.999
RPS15A	RPL36AL	0.997
NDUFB5	UQCRH	0.988
NRG1	BTC	0.959
RPS15	RPL27A	0.999
NEDD8	FBXO11	0.958
NDUFAB1	UQCR11	0.986
RPL26L1	RPL39	0.997
RPLP1	RPL23A	0.999
RPL34	RPL23	0.999
UQCRB	NDUFA11	0.969
RPS13	RPL37A	0.999
RPS13	UBA52	0.999
CST3	TIMP1	0.953
HERC5	UBA7	0.98
RPL38	RPS18	0.999
MCM2	RPA4	0.96
IFI35	IFITM1	0.984
LIFR	LIF	0.988
FOSB	FOS	0.983
MRPL27	MRPL34	0.992
ANAPC10	CDC26	0.999
NDUFA3	NDUFA4	0.96
RPLP2	RPL39	0.999
RPL36AL	RPL39	0.998
RPL27	RPL9	0.999
PSMA3	PSMA2	0.999
RPS16	LTV1	0.996
RPL30	RPL39	0.999
UQCRB	NDUFA3	0.963
RPL21	RPL27	0.999
RPS24	RPL12	0.999
RPL23A	RPL39	0.999
RPL34	RPLP1	0.999
SAMHD1	BST2	0.978
COX6A1	COX7C	0.997
NDUFB3	NDUFA6	0.999
NDUFA11	NDUFA4	0.957
NDUFS4	NDUFS5	0.999
NDUFB2	UQCR10	0.964
ATP5MG	ATP5ME	0.999
WDR31	RPS28	0.965
RPS25	RPL29	0.999
EIF3A	FAU	0.987
WDR31	RPL38	0.971
RSAD2	ISG20	0.973
RPS15	RPS9	0.999
NDUFAF6	NDUFA12	0.957
RPL35	RPLP2	0.999
GNB3	GNA14	0.957
LTV1	RPS14	0.998
RPS12	RPL27A	0.999
RPS15	RPL39	0.999
RPS16	RPL21	0.999
CCND1	CDKN2B	0.966
STAT1	CSF2	0.962
RPS11	RPS27A	0.999
RPLP1	RPS21	0.999
RPL26L1	RPL23	0.999
SEC61B	RPL39	0.996
RPS19	RPS13	0.999
JARID2	H2AFZ	0.957
RPL39L	RPS21	0.996
GUCY1B1	GUCY1A1	0.999
SEC61B	RPS24	0.996
DDX58	IRF7	0.995
RPL35	RPS9	0.999
RPS27A	RPL22L1	0.994
SEMA3D	PLXNA4	0.964
EIF3A	RPL12	0.951
RPS25	RPLP1	0.999
RPL30	RPLP2	0.999
RSAD2	STAT2	0.967
RPS13	RPL23	0.999
SF3B6	LSM3	0.966
RPS19	RPL39	0.999
OAS2	STAT2	0.97
POLR2F	SF3B5	0.953
NDUFAB1	UQCRH	0.975
SEC61B	RPL24	0.996
IGFBP4	FZD8	0.955
RPS20	RPS16	0.999
RPS19	RPL23A	0.999
RPL31	RPS24	0.999
NDUFB9	ATP5PD	0.957
GGCT	OPLAH	0.992
FAS	TNFSF10	0.97
COX5B	COA6	0.963
NDUFA2	NDUFA9	0.999
MRPL57	MRPL11	0.981
GNB3	GNG11	0.999
ARHGAP5	SRC	0.962
RPS15A	RPL32	0.999
MRPL24	MRPL17	0.999
RPS19	RPL38	0.999
UBE2L6	UBA52	0.994
RPS12	RPL29	0.999
OAS2	IRF9	0.98
PDGFRA	PIK3R1	0.985
RPS27L	UBA52	0.997
RPL19	RPL39	0.999
NDUFC1	NDUFB9	0.998
RPL27	RPLP1	0.999
RPL35	RPL12	0.999
SEC61B	RPL22L1	0.979
RPS15A	RPL29	0.999
RPS16	RPL36AL	0.995
RPL30	RPS18	0.999
RPS12	RPL12	0.999
RPS11	UBA52	0.999
NDUFC1	NDUFA1	0.998
OAS2	GBP2	0.957
STAT2	ISG20	0.954
RPL32	RPL38	0.999
RPL32	RPL27A	0.999
GBP1	TRIM22	0.978
RPS12	SEC61G	0.996
LSM7	LSM3	0.999
TIMM10	TIMM8B	0.974
RPL26L1	RPS19	0.998
RPL9	RPL27A	0.999
PSMA3	UBA52	0.996
CETN3	MCM3AP	0.976
ISG20	IFIT1	0.972
NDUFA11	NDUFB1	0.99
MCM2	RPA3	0.999
RPS12	RPS29	0.999
MX2	IRF7	0.991
NDUFAB1	NDUFA11	0.999
NDUFB7	NDUFS4	0.999
PSMA3	NEDD8	0.971
RPL13A	RPL23A	0.999
MRPL34	MRPL16	0.994
NDUFB3	NDUFS4	0.999
NDUFB7	NDUFB1	0.994
LMO2	RUNX1	0.961
ST3GAL1	C1GALT1C1	0.972
ATP5MPL	ATP5MF	0.971
RPS20	RPS29	0.999
GBP2	ISG20	0.95
RPL30	RPS29	0.999
ENY2	USP22	0.983
RPL23	RPLP1	0.999
SRP14	RPL22L1	0.973
SAMHD1	MX2	0.966
UQCR11	NDUFA3	0.98
RPS12	RPL24	0.999
RPL22L1	RPL36AL	0.996
RPS13	RPL23A	0.999
NDUFB10	NDUFA6	0.999
SNRPD2	LSM3	0.999
RPL37	RPL30	0.999
NDUFB7	UQCRQ	0.999
RPL30	RPL37A	0.999
RPS9	RPS27L	0.996
CCND1	GADD45A	0.952
NDUFB3	NDUFA2	0.999
RPS21	EIF3C	0.979
FAU	RPS28	0.999
IFIT3	IRF9	0.986
ISG20	IRF7	0.974
RPL36	RPS14	0.999
CBL	PIK3R1	0.99
NDUFB1	NDUFA6	0.999
RPS13	RPLP1	0.999
RPS11	RPL27A	0.999
TGFBR1	TGFB3	0.999
COX7C	ATP5ME	0.977
RPL13A	RPS28	0.999
EP300	KMT2D	0.994
ITGB3BP	CENPH	0.976
RPS24	RPL30	0.999
RPL29	RPS9	0.999
RPS12	TPT1	0.969
BST2	IFI27	0.951
NDUFA2	NDUFS6	0.999
RPL36	SEC61G	0.998
RPL23	RPL37A	0.999
EP300	FOS	0.97
COX7A2	COX6C	0.986
RPL30	RPL29	0.999
MRPS34	MRPL36	0.995
AMPD3	GMPR	0.955
EP300	USF1	0.962
NDUFC1	NDUFB3	0.999
MRPL27	MRPL17	0.999
MRPL17	MRPL40	0.999
NDUFB7	ATP5MF	0.954
EP300	PPARA	0.968
RPS24	RPLP2	0.999
BIRC5	UBE2C	0.983
NDUFB7	NDUFC2	0.999
HMGCS1	FDPS	0.989
IFI44	IFIT1	0.961
RPS15A	RPS14	0.999
SRP14	RPL38	0.996
RPL32	RPL37	0.999
RPL39L	RPS28	0.997
SRP14	UBA52	0.996
ATP5MD	ATP5MF	0.973
NDUFB11	NDUFA12	0.998
SEC61B	RPL19	0.996
RPS15	MRPL36	0.959
MRPL24	MRPL13	0.999
SNRPF	LSM3	0.999
RPL26L1	RPLP1	0.997
RPS15	RPL27	0.999
RPS25	RPL22L1	0.996
RPS12	RPL21	0.999
NDUFAB1	NDUFB7	0.999
FAU	RPS26	0.999
TNFRSF1B	ADAM17	0.97
NDUFS5	NDUFA12	0.999
ELOB	NEDD8	0.984
RPL37	RPS28	0.999
NDUFA1	NDUFC2	0.997
RPL21	RPS18	0.999
RPL37A	RPS18	0.999
NDUFB3	NDUFB5	0.999
RPL36AL	RPS27L	0.994
RPS24	RPL13A	0.999
POLR2F	SNRPE	0.971
GNA14	GNG2	0.952
APAF1	BCL2	0.972
NDUFAB1	NDUFA6	0.999
RPS15	EIF3C	0.985
RPL23	MRPL36	0.961
NDUFAF6	NDUFA11	0.958
RPL35	RPLP1	0.999
SEC61B	RPS18	0.997
UQCRB	UQCRQ	0.999
GATA3	IL33	0.978
RPS11	MRPL17	0.959
RPL13A	RPL22L1	0.992
UQCR11	NDUFA6	0.993
NDUFB3	NDUFA1	0.999
PSMA2	RPS27A	0.969
RPS20	RPL23	0.999
EEF1E1	IARS	0.993
UQCRQ	ATP5ME	0.988
RPS15	RPL30	0.999
NDUFB9	ATP5MF	0.961
NDUFA1	NDUFAF2	0.959
RPS25	LTV1	0.996
ADAM17	TNF	0.979
NEDD4L	UBE2L6	0.958
SEC61B	RPS14	0.996
MRPS14	MRPL11	0.996
RPS13	RPL30	0.999
RPL31	UBA52	0.999
RPL19	RPL11	0.999
RPL39L	RPLP2	0.997
PDGFRA	PDGFD	0.951
PLXNA1	SEMA6D	0.976
RPS20	RPL13A	0.999
MRPL54	MRPS21	0.98
SNRPG	GEMIN6	0.965
RPS25	TPT1	0.981
SRP14	RPS14	0.996
RPL26L1	RPS21	0.997
RPL37	RPS27L	0.998
RPL39L	RPS9	0.996
RPL27	RPL36AL	0.997
UBA52	RPS18	0.999
NDUFC2	UQCRQ	0.987
NDUFS6	NDUFAF2	0.963
RPL39L	RPS18	0.995
HIPK2	EP300	0.96
NR1H3	NRIP1	0.971
RPS9	RPS28	0.999
