gene_id	Regulation	Type
IFIT1	down	mRNA
MX1	down	mRNA
OAS2	down	mRNA
CMPK2	down	mRNA
OAS1	down	mRNA
HERC6	down	mRNA
IFITM1	down	mRNA
OAS3	down	mRNA
MX2	down	mRNA
USP18	down	mRNA
HELZ2	down	mRNA
BST2	down	mRNA
STAT1	down	mRNA
EPSTI1	down	mRNA
PARP9	down	mRNA
ESM1	down	mRNA
PLSCR1	down	mRNA
DENND2A	up	mRNA
IFI27	down	mRNA
DTX3L	down	mRNA
RSAD2	down	mRNA
ISG15	down	mRNA
IFI35	down	mRNA
IRF7	down	mRNA
IL1RL1	down	mRNA
PARP12	down	mRNA
IFI6	down	mRNA
CCNA1	down	mRNA
BATF2	down	mRNA
HERC5	down	mRNA
THEMIS2	down	mRNA
TRIM14	down	mRNA
TRIM69	down	mRNA
COX7B	down	mRNA
ID2	down	mRNA
CSF3	down	mRNA
PPL	up	mRNA
RPS24	down	mRNA
IFIT3	down	mRNA
TAP1	down	mRNA
OTULINL	down	mRNA
COL5A3	up	mRNA
TRIM21	down	mRNA
SP110	down	mRNA
SAMHD1	down	mRNA
TYMP	down	mRNA
EREG	down	mRNA
IL1B	down	mRNA
TXN	down	mRNA
AREG	down	mRNA
DHX58	down	mRNA
CXCL8	down	mRNA
WNT7B	up	mRNA
L1CAM	up	mRNA
PSMB9	down	mRNA
IFIT2	down	mRNA
MT1E	down	mRNA
THBD	down	mRNA
OASL	down	mRNA
SRGN	down	mRNA
RPL22L1	down	mRNA
PFDN4	down	mRNA
ATP5MD	down	mRNA
APOL6	down	mRNA
RPL34	down	mRNA
EPHB6	up	mRNA
DHRS9	down	mRNA
FOXS1	up	mRNA
ACKR3	up	mRNA
MMP1	down	mRNA
C2CD4A	down	mRNA
MYD88	down	mRNA
ID1	down	mRNA
ST6GAL2	up	mRNA
UBE2L6	down	mRNA
VDR	up	mRNA
KIT	up	mRNA
PARP10	down	mRNA
NDUFB3	down	mRNA
POLR2K	down	mRNA
KIF26B	up	mRNA
