#Coverage	Number of genomic locations
0.0	781547.0
1.0	246044.0
2.0	169604.0
3.0	145545.0
4.0	143191.0
5.0	144144.0
6.0	147006.0
7.0	149523.0
8.0	152548.0
9.0	158298.0
10.0	163402.0
11.0	170545.0
12.0	175813.0
13.0	182180.0
14.0	187382.0
15.0	192478.0
16.0	197431.0
17.0	203209.0
18.0	208764.0
19.0	210471.0
20.0	214188.0
21.0	219295.0
22.0	225472.0
23.0	229214.0
24.0	232234.0
25.0	238174.0
26.0	239895.0
27.0	241647.0
28.0	243121.0
29.0	245247.0
30.0	247857.0
31.0	249919.0
32.0	253397.0
33.0	253719.0
34.0	253552.0
35.0	254488.0
36.0	255293.0
37.0	254343.0
38.0	255477.0
39.0	254384.0
40.0	256235.0
41.0	254877.0
42.0	253523.0
43.0	253302.0
44.0	252004.0
45.0	251039.0
46.0	250638.0
47.0	250944.0
48.0	250929.0
49.0	248197.0
50.0	246858.0
51.0	244751.0
52.0	243971.0
53.0	242336.0
54.0	240873.0
55.0	239463.0
56.0	238621.0
57.0	236581.0
58.0	234557.0
59.0	233465.0
60.0	232966.0
61.0	231220.0
62.0	229360.0
63.0	228261.0
64.0	224927.0
65.0	222978.0
66.0	221226.0
67.0	218591.0
68.0	216150.0
69.0	214287.0
70.0	212190.0
71.0	209859.0
72.0	208486.0
73.0	206969.0
74.0	205123.0
75.0	204365.0
76.0	201807.0
77.0	199462.0
78.0	197430.0
79.0	195407.0
80.0	192829.0
81.0	190233.0
82.0	188139.0
83.0	185877.0
84.0	183774.0
85.0	182392.0
86.0	179735.0
87.0	178067.0
88.0	175195.0
89.0	172279.0
90.0	171138.0
91.0	169515.0
92.0	167533.0
93.0	164792.0
94.0	162243.0
95.0	160942.0
96.0	159037.0
97.0	156703.0
98.0	153615.0
99.0	152596.0
100.0	150573.0
101.0	149149.0
102.0	146476.0
103.0	145269.0
104.0	144083.0
105.0	141646.0
106.0	139992.0
107.0	138228.0
108.0	136848.0
109.0	135137.0
110.0	133321.0
111.0	131184.0
112.0	130292.0
113.0	129133.0
114.0	127456.0
115.0	126174.0
116.0	124045.0
117.0	123037.0
118.0	121164.0
119.0	119075.0
120.0	117445.0
121.0	115735.0
122.0	114236.0
123.0	113501.0
124.0	110781.0
125.0	110650.0
126.0	108233.0
127.0	106901.0
128.0	106245.0
129.0	104514.0
130.0	103063.0
131.0	101328.0
132.0	100363.0
133.0	99391.0
134.0	97936.0
135.0	96618.0
136.0	95177.0
137.0	94006.0
138.0	93530.0
139.0	91880.0
140.0	90858.0
141.0	89742.0
142.0	88364.0
143.0	87342.0
144.0	85640.0
145.0	84656.0
146.0	83990.0
147.0	82269.0
148.0	81345.0
149.0	80484.0
150.0	79006.0
151.0	78001.0
152.0	77125.0
153.0	75727.0
154.0	74623.0
155.0	74242.0
156.0	73450.0
157.0	71900.0
158.0	71582.0
159.0	70017.0
160.0	69356.0
161.0	68097.0
162.0	66615.0
163.0	65431.0
164.0	64652.0
165.0	64410.0
166.0	63552.0
167.0	62405.0
168.0	61667.0
169.0	60790.0
170.0	59575.0
171.0	58985.0
172.0	58496.0
173.0	57494.0
174.0	56678.0
175.0	56025.0
176.0	55511.0
177.0	54509.0
178.0	53717.0
179.0	53036.0
180.0	52310.0
181.0	51953.0
182.0	51226.0
183.0	50186.0
184.0	49456.0
185.0	48800.0
186.0	48467.0
187.0	47659.0
188.0	47220.0
189.0	46148.0
190.0	45438.0
191.0	45123.0
192.0	44329.0
193.0	43788.0
194.0	43285.0
195.0	42587.0
196.0	42074.0
197.0	41103.0
198.0	40701.0
199.0	40121.0
200.0	39799.0
201.0	39251.0
202.0	38251.0
203.0	37956.0
204.0	37654.0
205.0	36821.0
206.0	36131.0
207.0	35898.0
208.0	35206.0
209.0	34929.0
210.0	34384.0
211.0	33685.0
212.0	33169.0
213.0	32778.0
214.0	32316.0
215.0	31962.0
216.0	31534.0
217.0	30992.0
218.0	30799.0
219.0	30520.0
220.0	29643.0
221.0	29456.0
222.0	29013.0
223.0	28351.0
224.0	27875.0
225.0	27553.0
226.0	27008.0
227.0	26765.0
228.0	26290.0
229.0	26107.0
230.0	25734.0
231.0	25305.0
232.0	25398.0
233.0	24597.0
234.0	24198.0
235.0	23895.0
236.0	23588.0
237.0	23357.0
238.0	23127.0
239.0	22683.0
240.0	22075.0
241.0	21886.0
242.0	21404.0
243.0	21069.0
244.0	20762.0
245.0	20443.0
246.0	20055.0
247.0	19671.0
248.0	19543.0
249.0	19181.0
250.0	18700.0
251.0	18310.0
252.0	18105.0
253.0	17870.0
254.0	17685.0
255.0	17296.0
256.0	16802.0
257.0	16788.0
258.0	16381.0
259.0	16121.0
260.0	15884.0
