#Duplication rate	Coverage
1.0	1.1973549E7
2.0	6546483.0
3.0	3439612.0
4.0	1785120.0
5.0	922054.0
6.0	478709.0
7.0	250868.0
8.0	133697.0
9.0	72594.0
10.0	40666.0
11.0	23846.0
12.0	14631.0
13.0	9387.0
14.0	6368.0
15.0	4391.0
16.0	3220.0
17.0	2586.0
18.0	1949.0
19.0	1579.0
20.0	1277.0
21.0	1020.0
22.0	822.0
23.0	723.0
24.0	574.0
25.0	503.0
26.0	427.0
27.0	368.0
28.0	325.0
29.0	271.0
30.0	228.0
31.0	176.0
32.0	147.0
33.0	143.0
34.0	130.0
35.0	93.0
36.0	101.0
37.0	76.0
38.0	69.0
39.0	68.0
40.0	57.0
41.0	58.0
42.0	47.0
43.0	39.0
44.0	35.0
45.0	28.0
46.0	32.0
47.0	20.0
48.0	21.0
49.0	16.0
50.0	384.0
