#Coverage (X)	Coverage
1.0	97.61520673663125
2.0	96.86443413601695
3.0	96.34690866839901
4.0	95.90279624071775
5.0	95.46586675064866
6.0	95.02602929985551
7.0	94.57745881276416
8.0	94.12120801387594
9.0	93.65572680450482
10.0	93.17270018677773
11.0	92.6740993491813
12.0	92.15370253734372
13.0	91.61723108007672
14.0	91.0613315158528
15.0	90.48955869697362
16.0	89.90223606922801
17.0	89.29979997929337
18.0	88.6797330424925
19.0	88.04271571553211
20.0	87.40048969082153
21.0	86.74692170387458
22.0	86.07777034293218
23.0	85.38977063635244
24.0	84.69035268315217
25.0	83.98171957634582
26.0	83.25496129986394
27.0	82.52295160637672
28.0	81.78559590324784
29.0	81.04374247282911
30.0	80.29540181838172
31.0	79.53909707422841
32.0	78.77650039406987
33.0	78.00329103038752
34.0	77.22909912383723
35.0	76.45541679697311
36.0	75.67887838276617
37.0	74.89988361138941
38.0	74.12378764661058
39.0	73.34423142216642
40.0	72.56801035099757
41.0	71.7861411840258
42.0	71.00841578480139
43.0	70.23482194782288
44.0	69.46190246480032
45.0	68.69294366700316
46.0	67.92692944643443
47.0	67.16213882738757
48.0	66.39641448747864
49.0	65.63073591820019
50.0	64.87339370642235
51.0	64.12013728625992
