#Insert size (bp)	insert size
2.0	4.0
3.0	13.0
4.0	5.0
5.0	6.0
6.0	5.0
7.0	8.0
8.0	8.0
9.0	2.0
10.0	13.0
11.0	8.0
12.0	7.0
13.0	4.0
14.0	7.0
15.0	8.0
16.0	6.0
17.0	10.0
18.0	9.0
19.0	16.0
20.0	9.0
21.0	12.0
22.0	7.0
23.0	15.0
24.0	15.0
25.0	12.0
26.0	10.0
27.0	14.0
28.0	10.0
29.0	10.0
30.0	9.0
31.0	14.0
32.0	10.0
33.0	18.0
34.0	11.0
35.0	11.0
36.0	15.0
37.0	17.0
38.0	20.0
39.0	15.0
40.0	16.0
41.0	25.0
42.0	18.0
43.0	16.0
44.0	21.0
45.0	13.0
46.0	29.0
47.0	20.0
48.0	26.0
49.0	33.0
50.0	17.0
51.0	22.0
52.0	23.0
53.0	19.0
54.0	31.0
55.0	22.0
56.0	31.0
57.0	29.0
58.0	24.0
59.0	18.0
60.0	33.0
61.0	27.0
62.0	25.0
63.0	25.0
64.0	51.0
65.0	89.0
66.0	149.0
67.0	419.0
68.0	894.0
69.0	1896.0
70.0	3346.0
71.0	4657.0
72.0	5901.0
73.0	7551.0
74.0	9584.0
75.0	12006.0
76.0	14318.0
77.0	17587.0
78.0	21209.0
79.0	24858.0
80.0	29720.0
81.0	34423.0
82.0	39207.0
83.0	45162.0
84.0	50867.0
85.0	56764.0
86.0	63680.0
87.0	69998.0
88.0	77628.0
89.0	84204.0
90.0	91250.0
91.0	98613.0
92.0	105422.0
93.0	113535.0
94.0	120760.0
95.0	127230.0
96.0	134361.0
97.0	140791.0
98.0	147676.0
99.0	154712.0
100.0	160952.0
101.0	167843.0
102.0	172895.0
103.0	179300.0
104.0	184447.0
105.0	190301.0
106.0	194798.0
107.0	200236.0
108.0	203973.0
109.0	209300.0
110.0	212918.0
111.0	216503.0
112.0	221227.0
113.0	224572.0
114.0	228401.0
115.0	230142.0
116.0	233517.0
117.0	235110.0
118.0	238201.0
119.0	240526.0
120.0	241820.0
121.0	244131.0
122.0	244878.0
123.0	245877.0
124.0	246549.0
125.0	247771.0
126.0	248562.0
127.0	249180.0
128.0	248770.0
129.0	250658.0
130.0	250237.0
131.0	249690.0
132.0	249579.0
133.0	248348.0
134.0	248500.0
135.0	248345.0
136.0	246934.0
137.0	245263.0
138.0	244969.0
139.0	243622.0
140.0	243101.0
141.0	241120.0
142.0	239653.0
143.0	237680.0
144.0	236622.0
145.0	235990.0
146.0	233883.0
147.0	230865.0
148.0	228749.0
149.0	227972.0
150.0	224552.0
151.0	222757.0
152.0	221090.0
153.0	218609.0
154.0	216391.0
155.0	213542.0
156.0	212507.0
157.0	209254.0
158.0	206916.0
159.0	205018.0
160.0	202287.0
161.0	200505.0
162.0	197034.0
163.0	194965.0
164.0	192664.0
165.0	190217.0
166.0	187461.0
167.0	185293.0
168.0	181739.0
169.0	179395.0
170.0	177395.0
171.0	174703.0
172.0	172066.0
173.0	169961.0
174.0	166490.0
175.0	164703.0
176.0	162295.0
177.0	159312.0
178.0	157341.0
179.0	153714.0
180.0	152400.0
181.0	149966.0
182.0	146640.0
183.0	144936.0
184.0	142661.0
185.0	139766.0
186.0	138474.0
187.0	135313.0
188.0	133428.0
189.0	130565.0
190.0	128608.0
191.0	126220.0
192.0	124175.0
193.0	121430.0
194.0	119381.0
195.0	117686.0
196.0	115338.0
