#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	2.427136158940526E-7
10.0	2.427136158940526E-7
11.0	1.4562816953643156E-6
12.0	2.6698497748345788E-6
13.0	5.825126781457261E-6
14.0	1.674723949668963E-5
15.0	3.3009051761591156E-5
16.0	7.766835708609683E-5
17.0	1.361623385165635E-4
18.0	2.609171370861065E-4
19.0	4.3470008606624825E-4
20.0	6.934328006093082E-4
21.0	0.0010689107643974075
22.0	0.0016841897806888309
23.0	0.0026183944882650395
24.0	0.0037157027457220514
25.0	0.005650858405245332
26.0	0.00604720974000032
27.0	0.008983316351470675
28.0	0.011186670556556885
29.0	0.013504100161113298
30.0	0.015901139831682964
31.0	0.019311023421378505
32.0	0.022346642615365418
33.0	0.02489076673716688
34.0	0.02718149784397495
35.0	0.030650360842332747
36.0	0.03308113770551169
37.0	0.034080875089379285
38.0	0.03479955010604158
39.0	0.03638349916336617
40.0	0.0367817922070483
41.0	0.036624513783948966
42.0	0.035504147732982015
43.0	0.034879888312902514
44.0	0.034047623324001804
45.0	0.032652020032611
46.0	0.03096030612982946
47.0	0.029660574716716806
48.0	0.028398949341299516
49.0	0.027188051111604092
50.0	0.025864533764133817
51.0	0.027008685749458385
52.0	0.021160986601722977
53.0	0.022518726569034305
54.0	0.02173330530800115
55.0	0.02092191369006733
56.0	0.02013382257925934
57.0	0.019428254097855334
58.0	0.018539679550067207
59.0	0.017705230138623452
60.0	0.016754763618782344
61.0	0.01567177546466308
62.0	0.014287336999603406
63.0	0.013123525211391424
64.0	0.01163132190087479
65.0	0.010194942722013786
66.0	0.008794485158305101
67.0	0.007436502477377878
68.0	0.006164440416477149
69.0	0.004951843191470462
70.0	0.0039025922299604715
71.0	0.0030159593910994978
72.0	0.002273255726463697
73.0	0.001660889273563002
74.0	0.0012201213470994026
75.0	8.63089618119251E-4
76.0	5.723187062781761E-4
77.0	3.931960577483652E-4
78.0	2.487814562914039E-4
79.0	1.5655028225166395E-4
80.0	9.926986890066752E-5
81.0	5.630955888742021E-5
82.0	3.131005645033278E-5
83.0	1.6989953112583682E-5
84.0	7.524122092715632E-6
85.0	5.825126781457262E-6
86.0	1.6989953112583681E-6
87.0	7.281408476821579E-7
88.0	2.427136158940526E-7
89.0	2.427136158940526E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	2.427136158940526E-7
