#Mapping quality	mapping quality
0.0	506156.0
1.0	34234.0
2.0	26663.0
3.0	22696.0
4.0	21635.0
5.0	19245.0
6.0	18519.0
7.0	17622.0
8.0	16770.0
9.0	16122.0
10.0	15320.0
11.0	15320.0
12.0	15190.0
13.0	15282.0
14.0	14207.0
15.0	13602.0
16.0	13758.0
17.0	13639.0
18.0	13632.0
19.0	13933.0
20.0	14737.0
21.0	14582.0
22.0	14027.0
23.0	14503.0
24.0	15993.0
25.0	16558.0
26.0	16323.0
27.0	17486.0
28.0	17002.0
29.0	16730.0
30.0	17563.0
31.0	17008.0
32.0	17207.0
33.0	17366.0
34.0	17181.0
35.0	18207.0
36.0	18489.0
37.0	19440.0
38.0	20112.0
39.0	20792.0
40.0	24025.0
41.0	22586.0
42.0	23355.0
43.0	25104.0
44.0	26841.0
45.0	28619.0
46.0	30436.0
47.0	31961.0
48.0	34942.0
49.0	37939.0
50.0	41441.0
51.0	46973.0
52.0	50570.0
53.0	57539.0
54.0	67518.0
55.0	80145.0
56.0	95137.0
57.0	119421.0
58.0	169508.0
59.0	620147.0
60.0	2.9171502E7
